NumSingle NumDouble Num3orMore NumNotCliques MaxSize AvgSize
3 5 23 9 17 4.00
1 7 13 5 31 5.70
3 3 22 10 15 4.48
1 7 18 9 18 4.56
1 4 22 8 20 4.38
2 6 20 10 14 4.35
2 3 24 10 15 4.19
0 1 25 11 16 4.42
0 3 20 9 18 5.00
3 7 21 9 24 4.00
0 2 23 7 24 4.60
3 4 20 10 18 4.67
1 2 26 9 17 4.07
4 6 21 9 13 4.11
1 3 20 7 22 4.96
4 5 18 12 13 4.83
2 3 19 9 17 5.14
2 4 25 10 16 3.90
3 6 18 9 20 4.67
0 4 15 11 18 6.05
1 3 25 12 13 4.07
2 7 23 9 14 3.77
0 4 23 11 20 4.26
1 3 22 11 18 4.56
1 5 21 6 23 4.38
1 3 21 10 14 4.75
1 6 17 7 26 4.96
1 3 26 9 21 3.93
2 2 15 7 25 6.65
0 8 18 7 26 4.42
0 6 17 6 24 5.00
3 5 23 9 17 4.00
1 3 25 12 13 4.07
0 6 17 6 24 5.00
3 5 23 9 17 4.00
1 3 25 12 13 4.07
0 3 19 10 17 5.23
0 4 17 10 14 5.48
3 8 20 7 29 4.00
1 4 21 11 22 4.56
1 4 26 9 15 3.80
3 4 21 11 15 4.48
0 2 23 8 17 4.60
0 5 20 5 22 4.60
3 7 19 8 19 4.31
2 4 20 6 29 4.71
0 3 21 12 22 4.79
2 7 21 7 23 4.04
2 4 19 7 31 4.91
0 5 16 7 22 5.48
0 6 20 8 26 4.42
1 4 27 12 12 3.68
2 9 17 8 16 4.35
0 6 16 7 34 5.23
4 3 21 10 16 4.62
1 3 19 8 15 5.18
0 3 19 10 17 5.23
0 4 17 10 14 5.48
3 8 20 7 29 4.00
1 4 21 11 22 4.56
1 4 26 9 15 3.80
3 4 21 11 15 4.48
0 2 23 8 17 4.60
0 5 20 5 22 4.60
3 7 19 8 19 4.31
2 4 20 6 29 4.71
0 3 21 12 22 4.79
2 7 21 7 23 4.04
2 4 19 7 31 4.91
0 5 16 7 22 5.48
0 6 20 8 26 4.42
1 4 27 12 12 3.68
2 9 17 8 16 4.35
0 6 16 7 34 5.23
4 3 21 10 16 4.62
1 3 19 8 15 5.18
0 2 23 8 17 4.60
3 7 19 8 19 4.31
2 4 20 6 29 4.71
0 2 23 8 17 4.60
3 7 19 8 19 4.31
2 4 20 6 29 4.71
1 8 23 9 21 3.68
3 2 19 11 24 5.33
3 5 18 7 17 4.87
3 6 21 8 16 4.15
0 6 19 8 17 4.60
3 4 20 9 20 4.67
1 3 20 11 16 4.96
2 6 18 10 32 4.71
3 3 22 7 17 4.48
2 4 21 7 19 4.52
1 4 23 10 15 4.22
3 4 20 12 12 4.67
3 4 19 7 19 4.87
1 8 21 8 15 3.93
0 4 23 9 22 4.26
3 6 21 10 12 4.15
4 0 25 9 12 4.44
2 3 22 8 23 4.52
1 7 19 8 18 4.38
0 4 24 7 27 4.11
1 8 23 9 21 3.68
3 2 19 11 24 5.33
3 5 18 7 17 4.87
3 6 21 8 16 4.15
0 6 19 8 17 4.60
3 4 20 9 20 4.67
1 3 20 11 16 4.96
2 6 18 10 32 4.71
3 3 22 7 17 4.48
2 4 21 7 19 4.52
1 4 23 10 15 4.22
3 4 20 12 12 4.67
3 4 19 7 19 4.87
1 8 21 8 15 3.93
0 4 23 9 22 4.26
3 6 21 10 12 4.15
4 0 25 9 12 4.44
2 3 22 8 23 4.52
1 7 19 8 18 4.38
0 4 24 7 27 4.11
0 6 19 8 17 4.60
1 8 21 8 15 3.93
4 0 25 9 12 4.44
0 6 19 8 17 4.60
1 8 21 8 15 3.93
4 0 25 9 12 4.44
2 2 20 11 13 5.14
7 5 22 10 19 4.00
0 5 20 8 29 4.60
0 5 18 7 28 5.00
2 4 18 9 16 5.14
0 2 26 8 18 4.11
1 5 21 7 28 4.38
3 6 18 10 17 4.67
1 2 18 8 28 5.70
3 3 17 7 31 5.60
1 4 23 10 16 4.22
0 5 20 8 27 4.60
4 1 19 12 11 5.55
4 9 18 6 23 4.11
2 3 17 6 31 5.65
2 4 19 9 16 4.91
1 5 21 7 26 4.38
0 8 15 6 28 5.00
2 5 23 6 29 4.04
2 3 18 9 21 5.38
2 2 20 11 13 5.14
7 5 22 10 19 4.00
0 5 20 8 29 4.60
0 5 18 7 28 5.00
2 4 18 9 16 5.14
0 2 26 8 18 4.11
1 5 21 7 28 4.38
3 6 18 10 17 4.67
1 2 18 8 28 5.70
3 3 17 7 31 5.60
1 4 23 10 16 4.22
0 5 20 8 27 4.60
4 1 19 12 11 5.55
4 9 18 6 23 4.11
2 3 17 6 31 5.65
2 4 19 9 16 4.91
1 5 21 7 26 4.38
0 8 15 6 28 5.00
2 5 23 6 29 4.04
2 3 18 9 21 5.38
0 2 26 8 18 4.11
3 6 18 10 17 4.67
3 3 17 7 31 5.60
0 2 26 8 18 4.11
3 6 18 10 17 4.67
3 3 17 7 31 5.60
1 3 19 10 15 5.18
0 5 24 9 15 3.97
4 5 23 10 12 3.96
0 4 20 6 23 4.79
2 6 17 6 28 4.91
1 3 24 11 15 4.22
1 3 22 7 20 4.56
2 2 26 10 15 4.04
0 5 24 8 12 3.97
4 7 18 10 15 4.44
1 6 23 7 16 3.93
0 5 19 9 18 4.79
3 6 21 8 22 4.15
0 8 18 10 18 4.42
1 7 24 8 24 3.68
2 8 19 6 29 4.19
3 7 17 9 15 4.67
1 1 23 8 22 4.75
0 3 22 11 14 4.60
1 2 26 8 14 4.07
1 3 19 10 15 5.18
0 5 24 9 15 3.97
4 5 23 10 12 3.96
0 4 20 6 23 4.79
2 6 17 6 28 4.91
1 3 24 11 15 4.22
1 3 22 7 20 4.56
2 2 26 10 15 4.04
0 5 24 8 12 3.97
4 7 18 10 15 4.44
1 6 23 7 16 3.93
0 5 19 9 18 4.79
3 6 21 8 22 4.15
0 8 18 10 18 4.42
1 7 24 8 24 3.68
2 8 19 6 29 4.19
3 7 17 9 15 4.67
1 1 23 8 22 4.75
0 3 22 11 14 4.60
1 2 26 8 14 4.07
0 4 20 6 23 4.79
0 5 24 8 12 3.97
0 8 18 10 18 4.42
0 4 20 6 23 4.79
0 5 24 8 12 3.97
0 8 18 10 18 4.42
0 8 17 9 19 4.60
0 3 18 7 21 5.48
1 4 26 9 19 3.80
2 6 14 7 18 5.65
1 3 23 9 13 4.38
2 7 18 9 18 4.52
2 4 28 9 11 3.53
1 3 20 10 19 4.96
4 2 23 5 22 4.44
1 1 25 11 11 4.38
2 4 21 8 17 4.52
4 3 22 10 11 4.44
0 3 24 11 15 4.26
1 2 24 9 22 4.38
0 5 19 6 20 4.79
1 6 19 9 16 4.56
0 2 18 10 19 5.75
3 6 22 6 23 4.00
2 6 19 10 26 4.52
2 7 20 8 15 4.19
0 8 17 9 19 4.60
0 3 18 7 21 5.48
1 4 26 9 19 3.80
2 6 14 7 18 5.65
1 3 23 9 13 4.38
2 7 18 9 18 4.52
2 4 28 9 11 3.53
1 3 20 10 19 4.96
4 2 23 5 22 4.44
1 1 25 11 11 4.38
2 4 21 8 17 4.52
4 3 22 10 11 4.44
0 3 24 11 15 4.26
1 2 24 9 22 4.38
0 5 19 6 20 4.79
1 6 19 9 16 4.56
0 2 18 10 19 5.75
3 6 22 6 23 4.00
2 6 19 10 26 4.52
2 7 20 8 15 4.19
0 3 18 7 21 5.48
2 4 28 9 11 3.53
1 6 19 9 16 4.56
0 3 18 7 21 5.48
2 4 28 9 11 3.53
1 6 19 9 16 4.56
0 2 24 8 16 4.42
2 8 16 7 31 4.71
0 5 26 10 10 3.71
2 4 21 9 16 4.52
4 4 18 7 18 5.05
1 1 18 10 25 6.00
1 7 18 8 15 4.56
1 3 23 8 23 4.38
1 3 24 7 14 4.22
2 6 20 6 22 4.35
2 3 17 9 24 5.65
1 5 23 6 19 4.07
2 6 19 4 30 4.52
0 5 22 9 23 4.26
0 8 23 9 13 3.71
1 3 28 10 15 3.68
0 6 18 9 20 4.79
0 6 21 7 16 4.26
1 4 24 9 26 4.07
1 3 23 8 16 4.38
0 2 24 8 16 4.42
2 8 16 7 31 4.71
0 5 26 10 10 3.71
2 4 21 9 16 4.52
4 4 18 7 18 5.05
1 1 18 10 25 6.00
1 7 18 8 15 4.56
1 3 23 8 23 4.38
1 3 24 7 14 4.22
2 6 20 6 22 4.35
2 3 17 9 24 5.65
1 5 23 6 19 4.07
2 6 19 4 30 4.52
0 5 22 9 23 4.26
0 8 23 9 13 3.71
1 3 28 10 15 3.68
0 6 18 9 20 4.79
0 6 21 7 16 4.26
1 4 24 9 26 4.07
1 3 23 8 16 4.38
2 6 20 6 22 4.35
0 6 18 9 20 4.79
1 3 23 8 16 4.38
2 6 20 6 22 4.35
0 6 18 9 20 4.79
1 3 23 8 16 4.38
2 4 20 10 25 4.71
0 7 21 10 14 4.11
2 6 20 11 12 4.35
1 3 21 7 19 4.75
5 5 16 7 20 5.24
2 7 22 9 18 3.90
4 5 17 8 22 5.05
1 10 16 7 16 4.38
1 6 15 9 22 5.43
2 4 25 9 14 3.90
1 3 17 12 15 5.70
0 3 21 10 16 4.79
0 5 15 8 30 5.75
0 1 27 8 20 4.11
2 7 22 6 16 3.90
3 3 18 7 24 5.33
1 9 21 9 15 3.80
0 6 23 7 19 3.97
1 4 17 7 26 5.43
3 3 20 7 17 4.87
2 4 20 10 25 4.71
0 7 21 10 14 4.11
2 6 20 11 12 4.35
1 3 21 7 19 4.75
5 5 16 7 20 5.24
2 7 22 9 18 3.90
4 5 17 8 22 5.05
1 10 16 7 16 4.38
1 6 15 9 22 5.43
2 4 25 9 14 3.90
1 3 17 12 15 5.70
0 3 21 10 16 4.79
0 5 15 8 30 5.75
0 1 27 8 20 4.11
2 7 22 6 16 3.90
3 3 18 7 24 5.33
1 9 21 9 15 3.80
0 6 23 7 19 3.97
1 4 17 7 26 5.43
3 3 20 7 17 4.87
2 4 20 10 25 4.71
0 5 15 8 30 5.75
3 3 18 7 24 5.33
2 4 20 10 25 4.71
0 5 15 8 30 5.75
3 3 18 7 24 5.33
0 8 22 11 16 3.83
1 2 21 12 17 4.96
1 4 19 11 21 4.96
0 7 20 9 20 4.26
2 5 18 9 23 4.91
5 5 20 7 20 4.40
1 4 22 9 23 4.38
3 7 15 6 19 5.09
0 5 23 11 20 4.11
1 4 21 7 20 4.56
2 6 19 9 20 4.52
0 7 21 10 18 4.11
2 3 18 10 19 5.38
3 4 25 9 20 3.86
0 5 18 7 18 5.00
0 5 22 9 22 4.26
2 1 16 8 27 6.65
0 3 23 11 17 4.42
1 2 23 7 16 4.56
2 8 16 6 23 4.71
0 8 22 11 16 3.83
1 2 21 12 17 4.96
1 4 19 11 21 4.96
0 7 20 9 20 4.26
2 5 18 9 23 4.91
5 5 20 7 20 4.40
1 4 22 9 23 4.38
3 7 15 6 19 5.09
0 5 23 11 20 4.11
1 4 21 7 20 4.56
2 6 19 9 20 4.52
0 7 21 10 18 4.11
2 3 18 10 19 5.38
3 4 25 9 20 3.86
0 5 18 7 18 5.00
0 5 22 9 22 4.26
2 1 16 8 27 6.65
0 3 23 11 17 4.42
1 2 23 7 16 4.56
2 8 16 6 23 4.71
1 4 19 11 21 4.96
0 7 21 10 18 4.11
0 5 18 7 18 5.00
1 4 19 11 21 4.96
0 7 21 10 18 4.11
0 5 18 7 18 5.00
0 5 22 8 16 4.26
4 4 20 6 25 4.62
0 4 17 8 26 5.48
5 4 16 8 18 5.50
3 5 19 6 24 4.67
0 4 19 6 24 5.00
2 4 16 9 21 5.65
2 4 20 7 30 4.71
0 2 22 10 25 4.79
5 5 15 8 17 5.50
2 3 23 9 14 4.35
5 7 21 8 18 3.93
3 4 20 9 22 4.67
2 5 24 7 27 3.90
1 9 18 12 12 4.22
2 8 17 6 19 4.52
3 4 20 9 17 4.67
0 3 24 10 19 4.26
2 3 17 7 26 5.65
2 5 18 11 15 4.91
0 5 22 8 16 4.26
4 4 20 6 25 4.62
0 4 17 8 26 5.48
5 4 16 8 18 5.50
3 5 19 6 24 4.67
0 4 19 6 24 5.00
2 4 16 9 21 5.65
2 4 20 7 30 4.71
0 2 22 10 25 4.79
5 5 15 8 17 5.50
2 3 23 9 14 4.35
5 7 21 8 18 3.93
3 4 20 9 22 4.67
2 5 24 7 27 3.90
1 9 18 12 12 4.22
2 8 17 6 19 4.52
3 4 20 9 17 4.67
0 3 24 10 19 4.26
2 3 17 7 26 5.65
2 5 18 11 15 4.91
0 4 17 8 26 5.48
5 4 16 8 18 5.50
3 4 20 9 17 4.67
0 4 17 8 26 5.48
5 4 16 8 18 5.50
3 4 20 9 17 4.67
1 8 17 7 24 4.56
3 3 25 13 10 4.00
1 6 20 10 14 4.38
3 4 19 9 13 4.87
2 6 19 7 26 4.52
3 3 22 8 22 4.48
3 4 25 9 12 3.86
1 3 21 12 13 4.75
3 3 19 6 26 5.09
1 5 19 9 28 4.75
1 6 18 10 19 4.75
0 5 18 9 24 5.00
4 4 19 9 30 4.83
2 8 17 7 17 4.52
3 7 18 8 18 4.48
1 9 18 7 22 4.22
1 5 22 9 15 4.22
2 7 13 8 19 5.65
3 2 20 10 30 5.09
2 2 22 10 13 4.71
1 8 17 7 24 4.56
3 3 25 13 10 4.00
1 6 20 10 14 4.38
3 4 19 9 13 4.87
2 6 19 7 26 4.52
3 3 22 8 22 4.48
3 4 25 9 12 3.86
1 3 21 12 13 4.75
3 3 19 6 26 5.09
1 5 19 9 28 4.75
1 6 18 10 19 4.75
0 5 18 9 24 5.00
4 4 19 9 30 4.83
2 8 17 7 17 4.52
3 7 18 8 18 4.48
1 9 18 7 22 4.22
1 5 22 9 15 4.22
2 7 13 8 19 5.65
3 2 20 10 30 5.09
2 2 22 10 13 4.71
3 3 22 8 22 4.48
3 3 19 6 26 5.09
1 6 18 10 19 4.75
3 3 22 8 22 4.48
3 3 19 6 26 5.09
1 6 18 10 19 4.75
1 7 22 6 17 3.93
4 4 19 7 31 4.83
5 6 20 10 15 4.23
2 7 21 9 19 4.04
1 1 21 14 14 5.18
1 6 20 10 15 4.38
1 4 20 10 20 4.75
0 4 25 11 17 3.97
1 5 24 8 17 3.93
0 12 23 10 12 3.29
1 8 19 6 25 4.22
0 4 21 9 22 4.60
0 4 20 10 18 4.79
1 5 15 8 30 5.70
1 3 20 12 11 4.96
1 2 24 6 24 4.38
2 6 15 9 20 5.38
1 5 21 6 21 4.38
3 3 19 11 15 5.09
2 5 22 8 19 4.19
1 7 22 6 17 3.93
4 4 19 7 31 4.83
5 6 20 10 15 4.23
2 7 21 9 19 4.04
1 1 21 14 14 5.18
1 6 20 10 15 4.38
1 4 20 10 20 4.75
0 4 25 11 17 3.97
1 5 24 8 17 3.93
0 12 23 10 12 3.29
1 8 19 6 25 4.22
0 4 21 9 22 4.60
0 4 20 10 18 4.79
1 5 15 8 30 5.70
1 3 20 12 11 4.96
1 2 24 6 24 4.38
2 6 15 9 20 5.38
1 5 21 6 21 4.38
3 3 19 11 15 5.09
2 5 22 8 19 4.19
2 7 21 9 19 4.04
0 4 25 11 17 3.97
1 5 15 8 30 5.70
2 7 21 9 19 4.04
0 4 25 11 17 3.97
1 5 15 8 30 5.70
1 5 24 9 23 3.93
0 8 23 5 18 3.71
0 4 24 8 18 4.11
1 3 24 9 21 4.22
1 5 15 8 20 5.70
2 9 19 9 17 4.04
0 7 19 10 14 4.42
0 1 25 8 16 4.42
0 2 21 9 18 5.00
2 5 21 7 28 4.35
2 6 18 8 18 4.71
2 3 22 9 17 4.52
1 7 19 9 13 4.38
0 3 24 11 14 4.26
2 2 18 8 18 5.65
1 4 18 8 20 5.18
2 3 20 7 18 4.91
1 2 24 8 28 4.38
1 2 21 9 29 4.96
1 2 26 9 16 4.07
1 5 24 9 23 3.93
0 8 23 5 18 3.71
0 4 24 8 18 4.11
1 3 24 9 21 4.22
1 5 15 8 20 5.70
2 9 19 9 17 4.04
0 7 19 10 14 4.42
0 1 25 8 16 4.42
0 2 21 9 18 5.00
2 5 21 7 28 4.35
2 6 18 8 18 4.71
2 3 22 9 17 4.52
1 7 19 9 13 4.38
0 3 24 11 14 4.26
2 2 18 8 18 5.65
1 4 18 8 20 5.18
2 3 20 7 18 4.91
1 2 24 8 28 4.38
1 2 21 9 29 4.96
1 2 26 9 16 4.07
0 8 23 5 18 3.71
1 4 18 8 20 5.18
1 2 26 9 16 4.07
0 8 23 5 18 3.71
1 4 18 8 20 5.18
1 2 26 9 16 4.07
0 5 19 5 33 4.79
1 5 18 8 23 4.96
3 2 23 8 13 4.48
3 6 19 6 31 4.48
3 5 18 10 23 4.87
3 6 18 7 20 4.67
2 2 22 11 12 4.71
2 2 26 8 21 4.04
2 3 21 9 17 4.71
2 2 22 9 19 4.71
0 0 24 8 26 4.79
0 4 19 8 19 5.00
2 7 18 11 20 4.52
2 8 14 6 19 5.14
1 5 20 10 15 4.56
1 2 24 12 19 4.38
5 3 19 5 25 5.00
1 4 22 10 20 4.38
1 7 22 11 13 3.93
3 5 21 9 13 4.31
0 5 19 5 33 4.79
1 5 18 8 23 4.96
3 2 23 8 13 4.48
3 6 19 6 31 4.48
3 5 18 10 23 4.87
3 6 18 7 20 4.67
2 2 22 11 12 4.71
2 2 26 8 21 4.04
2 3 21 9 17 4.71
2 2 22 9 19 4.71
0 0 24 8 26 4.79
0 4 19 8 19 5.00
2 7 18 11 20 4.52
2 8 14 6 19 5.14
1 5 20 10 15 4.56
1 2 24 12 19 4.38
5 3 19 5 25 5.00
1 4 22 10 20 4.38
1 7 22 11 13 3.93
3 5 21 9 13 4.31
3 2 23 8 13 4.48
3 6 18 7 20 4.67
1 5 20 10 15 4.56
3 2 23 8 13 4.48
3 6 18 7 20 4.67
1 5 20 10 15 4.56
2 7 18 11 15 4.52
3 4 23 9 22 4.15
1 4 23 8 15 4.22
2 3 20 9 18 4.91
3 9 18 6 20 4.15
1 6 17 10 16 4.96
0 4 18 9 19 5.23
0 2 20 7 23 5.23
1 9 22 7 12 3.68
1 5 19 8 21 4.75
2 7 19 6 21 4.35
5 8 20 11 19 3.93
0 6 22 10 18 4.11
1 4 23 12 15 4.22
2 2 20 9 14 5.14
1 4 25 10 12 3.93
1 3 23 10 12 4.38
0 4 24 10 20 4.11
2 1 19 9 18 5.65
1 5 16 7 20 5.43
2 7 18 11 15 4.52
3 4 23 9 22 4.15
1 4 23 8 15 4.22
2 3 20 9 18 4.91
3 9 18 6 20 4.15
1 6 17 10 16 4.96
0 4 18 9 19 5.23
0 2 20 7 23 5.23
1 9 22 7 12 3.68
1 5 19 8 21 4.75
2 7 19 6 21 4.35
5 8 20 11 19 3.93
0 6 22 10 18 4.11
1 4 23 12 15 4.22
2 2 20 9 14 5.14
1 4 25 10 12 3.93
1 3 23 10 12 4.38
0 4 24 10 20 4.11
2 1 19 9 18 5.65
1 5 16 7 20 5.43
1 4 23 8 15 4.22
1 6 17 10 16 4.96
2 2 20 9 14 5.14
1 4 23 8 15 4.22
1 6 17 10 16 4.96
2 2 20 9 14 5.14
3 2 20 10 27 5.09
6 3 19 8 24 4.95
2 6 19 10 21 4.52
1 3 18 8 24 5.43
2 7 19 9 14 4.35
1 2 23 13 12 4.56
2 3 21 9 16 4.71
1 5 19 10 11 4.75
3 5 20 8 22 4.48
3 7 19 10 20 4.31
3 4 19 9 23 4.87
1 3 21 9 18 4.75
1 1 22 9 22 4.96
3 3 23 7 16 4.31
5 9 17 9 20 4.23
4 5 20 9 21 4.44
5 5 22 8 18 4.07
1 9 20 6 18 3.93
6 3 13 7 18 6.81
1 3 17 8 27 5.70
3 2 20 10 27 5.09
6 3 19 8 24 4.95
2 6 19 10 21 4.52
1 3 18 8 24 5.43
2 7 19 9 14 4.35
1 2 23 13 12 4.56
2 3 21 9 16 4.71
1 5 19 10 11 4.75
3 5 20 8 22 4.48
3 7 19 10 20 4.31
3 4 19 9 23 4.87
1 3 21 9 18 4.75
1 1 22 9 22 4.96
3 3 23 7 16 4.31
5 9 17 9 20 4.23
4 5 20 9 21 4.44
5 5 22 8 18 4.07
1 9 20 6 18 3.93
6 3 13 7 18 6.81
1 3 17 8 27 5.70
6 3 19 8 24 4.95
